정보분류체계 제목,정보분류체계 상위코드,정보 분류체계 깊이,정보 분류체계 일련번호,정보분류체계 그룹 번호,분류체계 사용여부
무용,,1,1,4, Y
연극,,1,1,1, Y
음악,,1,1,3, Y
미술,,1,1,5, Y
건축,,1,1,7, Y
영상,,1,1,8, Y
문학,,1,1,9, Y
문화정책,,1,1,10, Y
축제문화공간,,1,1,11, Y
관람지원정보,,1,1,22, Y
뮤지컬,,1,1,12, Y
기타,,1,1,13, Y
교육스페셜,,1,1,19, Y
기획테마,,1,1,21, Y
예술단체,F000,2,15,6, Y
문화예술단체,J000,2,17,11, Y
문화행사,J000,2,28,11, Y
예술가,B000,2,29,3, Y
예술단체,B000,2,51,3, Y
교육/학술,B000,2,42,3, Y
출판목록,B000,2,67,3, Y
작품,C000,2,2,4, Y
예술가,C000,2,13,4, Y
예술단체,C000,2,28,4, Y
작품,A000,2,2,1, Y
예술가,A000,2,42,1, Y
예술단체,A000,2,69,1, Y
교육/학술,A000,2,60,1, Y
출판목록,A000,2,78,1, Y
작품,B000,2,4,3, Y
교육/학술,C000,2,21,4, Y
출판목록,C000,2,36,4, Y
작품,D000,2,2,5, Y
예술가,D000,2,23,5, Y
예술단체,D000,2,36,5, Y
교육/학술,D000,2,30,5, Y
작품,E000,2,2,7, Y
예술가,E000,2,16,7, Y
예술단체,E000,2,25,7, Y
교육/학술,E000,2,19,7, Y
출판목록,E000,2,32,7, Y
예술가,F000,2,7,6, Y
교육/학술,F000,2,9,6, Y
작품,G000,2,2,8, Y
예술가,G000,2,17,8, Y
예술단체,G000,2,30,8, Y
교육/학술,G000,2,22,8, Y
예술가,H000,2,42,9, Y
예술단체,H000,2,60,9, Y
출판목록,H000,2,67,9, Y
예술지원정책,I000,2,2,10, Y
문화정책연구,I000,2,9,10, Y
문화공간,J000,2,2,11, Y
작품,H000,2,2,9, Y
출판목록,D000,2,45,5, Y
작품,F000,2,2,6, Y
출판목록,F000,2,21,6, Y
출판목록,G000,2,36,8, Y
기획테마,W000,2,2,21, Y
공연,X000,2,2,22, Y
전시,X000,2,9,22, Y
시인,H002,3,43,9, Y
오페라,B001,3,11,3, Y
성악가,B002,3,30,3, Y
문화예술과 과학기술의 만남,W001,3,3,21, Y
"같은 공간, 다른 시선",W001,3,6,21, Y
공연 주변정보,X001,3,3,22, Y
전시 주변정보,X002,3,10,22, Y
전시 관람정보,X002,3,12,22, Y
공연 관람정보,X001,3,5,22, Y
번역극,A001,3,3,1, Y
고전시가,H001,3,13,9, Y
국문학문헌,H001,3,3,9, Y
일반연극,A001,3,16,1, Y
실험극,A001,3,30,1, Y
애니메이션,G001,3,13,8, Y
배우,A002,3,58,1, Y
한국화,D001,3,21,5, Y
연주자,B002,3,38,3, Y
인형극,A001,3,34,1, Y
연출가,A002,3,52,1, Y
무대미술가,A002,3,54,1, Y
극작가,A002,3,56,1, Y
교육,A003,3,61,1, Y
극단,A004,3,72,1, Y
창작양악,B001,3,20,3, Y
중요무형문화재,B002,3,34,3, Y
국악인,B002,3,32,3, Y
교육,B003,3,44,3, Y
연주단체,B004,3,59,3, Y
전통무용,C001,3,3,4, Y
근현대무용,C001,3,7,4, Y
교육,C003,3,23,4, Y
전통건축,E001,3,10,7, Y
극영화,G001,3,3,8, Y
다큐멘터리,G001,3,11,8, Y
실험단편독립영화,G001,3,15,8, Y
교육,G003,3,24,8, Y
예술축제,J003,3,33,11, Y
서예,D001,3,7,5, Y
사진,D001,3,9,5, Y
조각,D001,3,15,5, Y
드로잉/판화,D001,3,17,5, Y
회화,D001,3,19,5, Y
시,H001,3,23,9, Y
소설,H001,3,31,9, Y
소설가,H002,3,45,9, Y
수필가,H002,3,47,9, Y
아동문학가,H002,3,51,9, Y
중요무형문화재,A002,3,43,1, Y
창작국악,B001,3,27,3, Y
중요무형문화재,C002,3,14,4, Y
전통연희,A001,3,10,1, Y
마임,A001,3,32,1, Y
전통음악,B001,3,16,3, Y
현대건축,E001,3,3,7, Y
공연시설,J001,3,8,11, Y
영상,A005,3,82,1, Y
음반,A005,3,81,1, Y
출판,A005,3,80,1, Y
웹사이트,A005,3,79,1, Y
지휘자,B002,3,36,3, Y
출판,B005,3,69,3, Y
웹사이트,B005,3,68,3, Y
아동청소년연극,A001,3,7,1, Y
동요,B001,3,5,3, Y
고전산문,H001,3,6,9, Y
전통음악단체,B004,3,64,3, Y
마당극,A001,3,36,1, Y
무용가,C002,3,18,4, Y
대본작가,,3,16,4, Y
영상,C005,3,40,4, Y
음반,C005,3,39,4, Y
출판,C005,3,38,4, Y
웹사이트,C005,3,37,4, Y
영상,E005,3,36,7, Y
음반,E005,3,35,7, Y
출판,E005,3,34,7, Y
웹사이트,E005,3,33,7, Y
영상,G005,3,40,8, Y
음반,G005,3,39,8, Y
출판,G005,3,38,8, Y
웹사이트,G005,3,37,8, Y
뉴미디어,D001,3,13,5, Y
공예,D001,3,11,5, Y
디자인,D001,3,5,5, Y
건축,D001,3,3,5, Y
작가,D002,3,24,5, Y
미술관,,3,44,5, Y
영상,D005,3,49,5, Y
음반,D005,3,48,5, Y
출판,D005,3,47,5, Y
웹사이트,D005,3,46,5, Y
시각디자인,F001,3,6,6, Y
제품디자인,F001,3,5,6, Y
환경디자인,F001,3,4,6, Y
복식디자인,F001,3,3,6, Y
문화지구,J001,3,4,11, Y
음악극,A001,3,24,1, Y
작곡가,B002,3,40,3, Y
영상,B005,3,72,3, Y
음반,B005,3,71,3, Y
평론가,H002,3,49,9, Y
불교의례,A011,4,15,1, Y
발레,C043,4,24,4, Y
다큐멘터리,G021,4,12,8, Y
애니메이션,G031,4,14,8, Y
실험단편독립영화,G041,4,16,8, Y
어린이 연극교실,A043,4,63,1, Y
축제의 일반적 특성과 예술축제,J013,4,34,11, Y
공연예술축제,J013,4,35,11, Y
시각예술축제,J013,4,36,11, Y
영상예술축제,J013,4,37,11, Y
불교건축,E021,4,11,7, Y
관영건축,E021,4,12,7, Y
유교건축,E021,4,13,7, Y
주거건축,E021,4,14,7, Y
누정건축,E021,4,15,7, Y
건축,D101,4,4,5, Y
한국화,D011,4,22,5, Y
회화,D021,4,20,5, Y
드로잉/판화,D031,4,18,5, Y
조각,D041,4,16,5, Y
뉴미디어,D051,4,14,5, Y
공예,D061,4,12,5, Y
사진,D071,4,10,5, Y
서예,D081,4,8,5, Y
디자인,D091,4,6,5, Y
1990년대 이후,A031,4,28,1, Y
1980년대,A031,4,27,1, Y
1961년~1970년대,A031,4,26,1, Y
1960년대 이전,A031,4,25,1, Y
놀이와 의식,A062,4,45,1, Y
전통연극,A062,4,44,1, Y
중요무형문화재,B042,4,35,3, Y
중요무형문화재,C042,4,15,4, Y
어린이 영상교실,G043,4,26,8, Y
창작국악,B031,4,28,3, Y
무속의례,A011,4,13,1, Y
민속놀이,A011,4,12,1, Y
탈춤,A011,4,11,1, Y
1980년대,A021,4,22,1, Y
1970년대,A021,4,21,1, Y
1960년대,A021,4,20,1, Y
1945년-1950년대,A021,4,19,1, Y
1902년-1910년대,A021,4,17,1, Y
의식음악,B011,4,19,3, Y
민속악,B011,4,18,3, Y
1980년 이후,B021,4,26,3, Y
1954년~1979년,B021,4,25,3, Y
1946년~1954년,B021,4,24,3, Y
1911년~1945년,B021,4,23,3, Y
의식무용,C011,4,6,4, Y
민속무용,C011,4,5,4, Y
1981년 이후,C021,4,12,4, Y
1961년~1980년,C021,4,11,4, Y
1946년~1960년,C021,4,10,4, Y
1926년~1945년,C021,4,9,4, Y
1989년 이후,E011,4,8,7, Y
1971년~1988년,E011,4,7,7, Y
1951년~1970년,E011,4,6,7, Y
1931년~1950년,E011,4,5,7, Y
1981년~1990년,G011,4,9,8, Y
1971년~1980년,G011,4,8,8, Y
1955년~1970년,G011,4,7,8, Y
1946년~1954년,G011,4,6,8, Y
1935년~1945년,G011,4,5,8, Y
마임,A051,4,33,1, Y
신문학의 등장~1910년대,H031,4,24,9, Y
전통음악교실,B043,4,45,3, Y
전통연희교실,A043,4,62,1, Y
1990년 이후,A081,4,9,1, Y
2000년 이후,A081,4,8,1, Y
1940년대,H031,4,27,9, Y
전래동요,B061,4,10,3, Y
1945년~1970년대,B061,4,7,3, Y
유럽권,A071,4,6,1, Y
영미권,A071,4,5,1, Y
기타,A071,4,4,1, Y
1940년대,H041,4,35,9, Y
향가,H051,4,20,9, Y
경기체가,H051,4,18,9, Y
시조,H051,4,16,9, Y
한시,H051,4,14,9, Y
한문소설,H061,4,9,9, Y
국문소설,H061,4,8,9, Y
고전수필,H061,4,7,9, Y
고려시대,H071,4,5,9, Y
조선시대,H071,4,4,9, Y
1950년대,H031,4,28,9, Y
1960년대,H031,4,29,9, Y
1970년대,H031,4,30,9, Y
1950년대,H041,4,36,9, Y
1960년대,H041,4,37,9, Y
1970년대,H041,4,38,9, Y
국공립단체,B054,4,65,3, Y
민간단체,B054,4,66,3, Y
1960년대,A091,4,37,1, Y
1970년대,A091,4,38,1, Y
1980년대 초중반,A091,4,39,1, Y
1987년~1992년,A091,4,40,1, Y
1993년 이후,A091,4,41,1, Y
문학제,H034,4,64,9, Y
문학상,H034,4,63,9, Y
공모,H034,4,62,9, Y
영상예술사 강의,G043,4,25,8, Y
극단,A014,4,73,1, Y
국공립공연장,J011,4,11,11, Y
동양화가,D012,4,25,5, Y
신문학의 등장~1910년대,H041,4,32,9, Y
1920년대,H041,4,33,9, Y
1930년대,H041,4,34,9, Y
유교의례,A011,4,14,1, Y
1990년대 이후,A021,4,23,1, Y
1920년-1940년대,A021,4,18,1, Y
정악,B011,4,17,3, Y
1910년 이전,B021,4,22,3, Y
정재,C011,4,4,4, Y
1925년 이전,C021,4,8,4, Y
1930년 이전,E011,4,4,7, Y
1991년 이후,G011,4,10,8, Y
1919년~1934년,G011,4,4,8, Y
실험극,A041,4,31,1, Y
인형극,A061,4,35,1, Y
아동문학,H062,4,52,9, Y
평론,H052,4,50,9, Y
수필,H042,4,48,9, Y
소설,H032,4,46,9, Y
시,H022,4,44,9, Y
발레,C012,4,20,4, Y
한국무용,C012,4,19,4, Y
연기,A012,4,59,1, Y
연출,A032,4,53,1, Y
극작,A022,4,57,1, Y
무대미술,A042,4,55,1, Y
1993년 이후,B041,4,15,3, Y
1983년~1992년,B041,4,14,3, Y
1962년~1982년,B041,4,13,3, Y
1948년~1961년,B041,4,12,3, Y
성악가,B062,4,31,3, Y
국악인,B052,4,33,3, Y
지휘자,B032,4,37,3, Y
연주자,B022,4,39,3, Y
작곡가,B012,4,41,3, Y
공립오케스트라,B014,4,63,3, Y
민간오케스트라,B014,4,62,3, Y
공예가,D012,4,29,5, Y
서예가,D012,4,28,5, Y
조각가,D012,4,27,5, Y
서양화가,D012,4,26,5, Y
1930년대,H031,4,26,9, Y
1920년대,H031,4,25,9, Y
공연장에 숨겨진 과학이야기,W011,4,4,21, Y
전시장 과학이야기,W011,4,5,21, Y
문학기행,W021,4,7,21, Y
영상세트 탐방,W021,4,8,21, Y
문화답사,W021,4,9,21, Y
국립극장 속 남산 나들이,X011,4,4,22, Y
"도심 속 문화산책, 정동길",X012,4,11,22, Y
전시장에서 만난 사람들,X022,4,13,22, Y
전시장 이야기,X022,4,14,22, Y
관람예절,X022,4,15,22, Y
관람예절,X021,4,8,22, Y
공연장 이야기,X021,4,7,22, Y
공연장에서 만난 사람들,X021,4,6,22, Y
1920년대,B061,4,9,3, Y
1930년~1945년,B061,4,8,3, Y
민간합창단,B014,4,60,3, Y
고대가요,H051,4,21,9, Y
인사동 문화지구,J031,4,6,11, Y
대학로 문화지구,J031,4,5,11, Y
1980년~2000년대,B061,4,6,3, Y
공립합창단,B014,4,61,3, Y
속요,H051,4,19,9, Y
악장,H051,4,17,9, Y
가사,H051,4,15,9, Y
신화,H061,4,12,9, Y
설화,H061,4,11,9, Y
전·전기,H061,4,10,9, Y
민간공연장,J011,4,10,11, Y
소공연장,J011,4,9,11, Y
문학관,,4,55,11, Y
공연장,,4,13,11, Y
영화관,,4,14,11, Y
박물관,J021,4,48,11, Y
전시실,J021,4,49,11, Y
미술관,J021,4,50,11, Y
화랑,J021,4,51,11, Y
문화복지시설,,4,52,11, Y
도서관,,4,53,11, Y
문화보급전수시설,,4,54,11, Y
